DistrictA;DistrictB
Aveiro;AVEIRO
Beja;BEJA
Braga;BRAGA
Bragança;BRAGANCA
Castelo Branco;CASTELO BRANCO
Coimbra;COIMBRA
Faro;FARO
Guarda;GUARDA
Leiria;LEIRIA
Lisboa;LISBOA
Portalegre;PORTALEGRE
Porto;PORTO
Santarém;SANTAREM
Setúbal;SETUBAL
Viana do Castelo;VIANA DO CASTELO
Vila Real;VILA REAL
Viseu;VISEU
Évora;EVORA
